City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
203,Kerema,-7.9631,145.7785,77.52,87,31,2.26,PG,scattered clouds
204,Balaka,-14.9793,34.9558,80.17,49,48,4.14,MW,scattered clouds
205,Palana,59.1167,159.9667,31.33,91,48,6.76,RU,scattered clouds
206,Leningradskiy,69.3833,178.4167,29.32,95,66,5.5,RU,broken clouds
207,Turochak,52.2576,87.1224,59.92,74,91,4.25,RU,overcast clouds
208,Biak,-0.9131,122.8766,77.2,84,74,6.96,ID,broken clouds
209,Mount Isa,-20.7333,139.5,67.77,56,0,10.36,AU,clear sky
210,Harper,4.375,-7.7169,80.13,86,93,12.59,LR,light rain
211,Benjamin Aceval,-24.9667,-57.5667,62.74,60,0,5.99,PY,clear sky
212,Vulcan,45.3833,23.2667,72.18,30,25,2.24,RO,scattered clouds
213,Mount Gambier,-37.8333,140.7667,44.85,92,7,5.86,AU,clear sky
214,Nabire,-3.3667,135.4833,76.8,91,90,3.11,ID,overcast clouds
215,Hirara,24.8,125.2833,73.53,93,100,1.5,JP,overcast clouds
216,Mana,5.6592,-53.7767,78.8,87,96,7.65,GF,overcast clouds
217,La Ronge,55.1001,-105.2842,35.85,55,100,14.97,CA,overcast clouds
218,Cayenne,4.9333,-52.3333,80.64,89,75,3.44,GF,broken clouds
219,Half Moon Bay,37.4636,-122.4286,58.86,64,0,16.11,US,haze
220,Nikolskoye,59.7035,30.7861,53.49,38,96,7.43,RU,overcast clouds
221,Yerbogachen,61.2767,108.0108,49.21,71,100,4.34,RU,overcast clouds
222,Carmen,18.6333,-91.8333,84.24,70,0,17.27,MX,clear sky
223,Gunjur,13.2019,-16.7339,89.67,48,0,9.22,GM,clear sky
224,Idrinskoye,54.3708,92.1358,58.1,81,54,5.93,RU,light rain
225,Shush,32.1942,48.2436,106.99,8,5,16.49,IR,clear sky
226,Sao Filipe,14.8961,-24.4956,75.18,70,83,6.96,CV,broken clouds
227,Tulagi,-9.0996,160.1476,82.67,71,10,2.71,SB,clear sky
228,Cabedelo,-6.9811,-34.8339,86.67,73,40,9.19,BR,scattered clouds
229,Yeppoon,-23.1333,150.7333,60.58,91,99,24.11,AU,light rain
230,Lotoshino,56.2267,35.6414,51.66,42,100,3.31,RU,overcast clouds
231,Marawi,7.9986,124.2928,70.72,92,77,1.41,PH,broken clouds
232,Lermontovka,47.1453,134.3383,58.93,62,97,4.5,RU,overcast clouds
233,Raudeberg,61.9875,5.1352,56.95,88,99,3.13,NO,overcast clouds
234,Ferme-Neuve,46.7001,-75.4493,49.1,89,100,6.02,CA,overcast clouds
235,Maitum,6.0392,124.4986,80.94,84,98,5.23,PH,overcast clouds
236,Namibe,-15.1961,12.1522,75.87,57,70,12.88,AO,broken clouds
237,Mahebourg,-20.4081,57.7,76.24,83,75,13.8,MU,broken clouds
238,Castro,-24.7911,-50.0119,56.61,54,0,3.94,BR,clear sky
239,Fairbanks,64.8378,-147.7164,48.81,69,0,6.91,US,clear sky
240,Trinidad,-14.8333,-64.9,67.98,56,38,3.44,BO,scattered clouds
241,Iisalmi,63.5592,27.1907,57.22,35,91,5.57,FI,overcast clouds
242,Tazmalt,36.3868,4.3989,89.58,23,0,3.04,DZ,clear sky
243,Bubaque,11.2833,-15.8333,78.73,77,43,9.73,GW,scattered clouds
244,Husavik,66.0449,-17.3389,53.58,61,100,8.23,IS,overcast clouds
245,Kijang,35.2442,129.2139,65.93,75,1,9.42,KR,clear sky
246,Isangel,-19.55,169.2667,77.29,87,97,15.68,VU,heavy intensity rain
247,Porto Novo,6.4965,2.6036,89.42,62,100,10.09,BJ,light rain
248,Guadalupe Victoria,32.2869,-115.105,68.07,53,0,6.71,MX,clear sky
249,Olafsvik,64.8945,-23.7142,48.51,78,100,3.09,IS,overcast clouds
250,Kailua,21.4022,-157.7394,78.78,80,20,1.01,US,few clouds
251,Massaguet,12.4755,15.4365,105.66,11,84,8.66,TD,broken clouds
252,Naryan-Mar,67.6713,53.087,32.04,88,100,16.04,RU,overcast clouds
253,Narsaq,60.9167,-46.05,43.02,56,42,3.71,GL,scattered clouds
254,Bara,10.3744,10.7288,101.26,21,48,1.12,NG,scattered clouds
255,Mehriz,31.5917,54.4318,91.9,9,0,5.73,IR,clear sky
256,Tateyama,34.9833,139.8667,67.51,78,100,15.55,JP,overcast clouds
257,Provideniya,64.3833,-173.3,37.62,84,57,7.25,RU,broken clouds
258,Victoria,22.2855,114.1577,81.18,82,13,5.01,HK,few clouds
